event_pair,start_km,end_km,description,peak,peak_ratio,intensity,intensity_per_km,distinct_pairs
10K vs Half,5.81,8.1,Friel to Station/Barker,1250,81.69934640522875,757395,330740.17467248905,42299
Full vs Half,29.03,37.0,Bridge/Mill to/back Tree Farm,1022,79.84375,774733,97206.14805520704,16591
